id,t,O,R,I,survie,energie_nette,integrite,persistance,repertoire,codification,densite_transmission,fidelite,perturb_symbolic,demande_env,U_raw,Cap,Sigma,V,S,C,delta_C,threshold_value,threshold_hit
A,11,0.5538,0.5057,0.5219,1.0,0.6108,0.6817,0.6,0.3183,0.2983,0.2775,0.5683,0,0.79,0.0,146.16157085400002,0.0,0.46097399999999994,0.36560000000000004,1.4388673999999997,0.13574240000000004,0.22641674486886082,0
A,12,0.5541,0.5062,0.5221,1.0,0.61,0.68,0.6,0.32,0.3,0.28,0.57,0,0.83,0.0,146.441437782,0.0,0.4605,0.3675,1.5755699999999997,0.1367026,0.22641674486886082,0
A,13,0.5545,0.5067,0.5222,1.0,0.61,0.68,0.6,0.33,0.31,0.28,0.58,0,0.87,0.0,146.72000133,0.0,0.4605,0.375,1.7132699999999998,0.13770000000000016,0.22641674486886082,0
A,14,0.5548,0.5072,0.5224,1.0,0.6109,0.6819,0.6,0.342,0.322,0.294,0.59,0,0.91,0.0,147.00051814399998,0.0,0.4610309999999999,0.387,1.85472,0.14145000000000008,0.22641674486886082,0
A,15,0.5552,0.5078,0.5226,1.0,0.6119,0.6838,0.6,0.354,0.334,0.308,0.6,0,0.95,0.0,147.33691065600001,0.0,0.46158299999999997,0.399,2.0021169,0.14739689999999994,0.22641674486886082,0
A,16,0.5555,0.5083,0.5228,1.0,0.6128,0.6856,0.6,0.366,0.346,0.322,0.61,0,0.99,0.0,147.61814782000002,0.0,0.46209599999999995,0.41100000000000003,2.1554586,0.15334169999999991,0.22641674486886082,0
A,17,0.5559,0.5088,0.5229,1.0,0.6138,0.6875,0.6,0.378,0.358,0.336,0.62,0,1.03,0.0,147.898039968,0.0,0.46264799999999995,0.42300000000000004,2.314749,0.15929040000000017,0.22641674486886082,0
A,18,0.5562,0.5093,0.5231,1.0,0.6147,0.6894,0.6,0.39,0.37,0.35,0.63,0,1.07,0.0,148.179928446,0.0,0.463179,0.43499999999999994,2.4799842,0.16523520000000014,0.22641674486886082,0
A,19,0.5566,0.5098,0.5233,1.0,0.6156,0.6913,0.6,0.39,0.37,0.35,0.63,0,1.11,0.0,148.48882404399998,0.0,0.46370999999999996,0.43499999999999994,2.6511663,0.17118209999999978,0.22641674486886082,0
A,20,0.5569,0.5103,0.5234,1.0,0.6166,0.6931,0.6,0.39,0.37,0.35,0.63,0,1.15,0.0,148.742989038,0.0,0.4642439999999999,0.43499999999999994,2.8222952999999995,0.17112899999999964,0.22641674486886082,0
A,21,0.5572,0.5109,0.5236,1.0,0.6175,0.695,0.6,0.39,0.37,0.35,0.63,0,1.19,0.0,149.055034128,0.0,0.464775,0.43499999999999994,2.9933708999999995,0.1710756,0.22641674486886082,0
A,22,0.5576,0.5114,0.5238,1.0,0.6184,0.6969,0.6,0.39,0.37,0.35,0.63,1,1.23,0.0,149.36504803199998,0.0,0.46530599999999994,0.43499999999999994,3.1643933999999994,0.17102249999999986,0.22641674486886082,0
A,23,0.5579,0.5119,0.524,1.0,0.6194,0.6988,0.6,0.39,0.37,0.35,0.63,1,1.27,0.0,149.64864124,0.0,0.46585799999999994,0.43499999999999994,3.335362799999999,0.17096939999999972,0.22641674486886082,0
A,24,0.5583,0.5124,0.5241,1.0,0.6203,0.7006,0.6,0.39,0.37,0.35,0.63,1,1.31,0.0,149.930817372,0.0,0.466371,0.43499999999999994,3.506276999999999,0.1709141999999999,0.22641674486886082,0
A,25,0.5586,0.5129,0.5243,1.0,0.6212,0.7025,0.6,0.39,0.37,0.35,0.63,1,1.35,0.0,150.215064342,0.0,0.46690199999999993,0.43499999999999994,3.677139899999999,0.17086289999999993,0.22641674486886082,0
A,26,0.559,0.5134,0.5245,1.0,0.6222,0.7044,0.6,0.39,0.37,0.35,0.63,1,1.39,0.0,150.52656969999998,0.0,0.46745400000000004,0.43499999999999994,3.8479496999999987,0.1708097999999998,0.22641674486886082,0
A,27,0.5593,0.514,0.5247,1.0,0.6231,0.7063,0.6,0.39,0.37,0.35,0.63,1,1.43,0.0,150.84086094000003,0.0,0.467985,0.43499999999999994,4.018704299999999,0.17075459999999998,0.22641674486886082,0
A,28,0.5597,0.5145,0.5248,1.0,0.6241,0.7081,0.6,0.39,0.37,0.35,0.63,1,1.47,0.0,151.12437312,0.0,0.468519,0.43499999999999994,4.1894057999999985,0.17070149999999984,0.22641674486886082,0
A,29,0.56,0.515,0.525,1.0,0.625,0.71,0.6,0.39,0.37,0.35,0.63,1,1.51,0.0,151.41000000000003,0.0,0.46904999999999997,0.43499999999999994,4.360053899999999,0.1706481000000002,0.22641674486886082,0
