t,z,mu_obs,mu_lcdm,O,R,I,demand,S
69,0.442642,41.7571,41.8302,0.6799,0.7625,0.9481,0.7788,0.5286
70,0.467637,42.0124,41.9712,0.6935,0.8661,0.9676,0.8013,0.5352
71,0.494043,42.2894,42.1128,0.6734,0.4262,0.9242,0.8234,0.5417
72,0.521940,42.2507,42.2548,0.5472,0.9865,0.9629,0.8448,0.5479
73,0.551412,42.5797,42.3974,0.4714,0.4075,0.9454,0.8656,0.5541
74,0.582548,42.2326,42.5404,0.4718,0.0000,0.9302,0.8854,0.5467
75,0.615443,42.7812,42.6838,0.3739,0.6836,0.9516,0.9041,0.5526
76,0.650195,42.8381,42.8277,0.4922,0.9662,0.9473,0.9217,0.5584
77,0.686909,42.9358,42.9719,0.2517,0.8828,0.9350,0.9379,0.5641
78,0.725697,43.1276,43.1165,0.5123,0.9637,0.9447,0.9526,0.5696
79,0.766675,43.0169,43.2613,0.0252,0.2056,0.9376,0.9657,0.5625
80,0.809966,43.3792,43.4065,0.3441,0.9113,0.9447,0.9769,0.5679
81,0.855702,43.5968,43.5519,0.5651,0.8542,0.9525,0.9860,0.5732
82,0.904021,43.8854,43.6975,0.5837,0.3896,0.9659,0.9931,0.5783
83,0.955068,43.7766,43.8433,0.3208,0.7833,0.9231,0.9978,0.5833
84,1.008998,43.8838,43.9892,0.4158,0.6578,0.9732,1.0000,0.5765
85,1.065973,44.0690,44.1352,0.2488,0.7848,0.9114,0.9996,0.5814
86,1.126165,44.4037,44.2812,0.2679,0.6021,0.9379,0.9966,0.5862
87,1.189756,44.4719,44.4273,0.3344,0.8551,0.9485,0.9906,0.5909
88,1.256937,44.5004,44.5734,0.4360,0.7630,0.9433,0.9817,0.5955
89,1.327913,44.7912,44.7194,0.5196,0.7668,0.9291,0.9698,0.6000
90,1.402895,44.8792,44.8654,0.3261,0.9552,0.9347,0.9547,0.6044
91,1.482112,45.1512,45.0113,0.0940,0.5453,0.9297,0.9364,0.6087
92,1.565802,45.0538,45.1570,0.1694,0.6647,0.9275,0.9149,0.6022
93,1.654218,45.2535,45.3025,0.3732,0.8407,0.9484,0.8901,0.6064
94,1.747627,45.3881,45.4479,0.1181,0.8058,0.9402,0.8620,0.6105
95,1.846309,45.3657,45.5931,0.0531,0.2611,0.9236,0.8305,0.6042
96,1.950565,45.7850,45.7380,0.2216,0.8475,0.9465,0.7958,0.6082
97,2.060707,45.9250,45.8827,0.0218,0.8627,0.9367,0.7577,0.6122
98,2.177068,46.0280,46.0271,0.0000,0.9973,0.9433,0.7164,0.6162
99,2.300000,46.1316,46.1713,0.1517,0.8712,0.9394,0.6719,0.6200
