id,t,O,R,I,survie,energie_nette,integrite,persistance,repertoire,codification,densite_transmission,fidelite,perturb_symbolic,demande_env,U_raw,V,S,Cap,Sigma,C,delta_C,threshold_hit
A,12,0.5541,0.5062,0.5221,1.0,0.61,0.68,0.6,0.32,0.3,0.28,0.57,0,0.83,0.0,0.7225,0.3675,0.146441437782,0.6835585622179999,0.0,0.0,0
A,13,0.5545,0.5067,0.5222,1.0,0.61,0.68,0.6,0.33,0.31,0.28,0.58,0,0.87,0.0,0.7225,0.375,0.14672000133,0.72327999867,0.0,0.0,0
A,14,0.5548,0.5072,0.5224,1.0,0.6109,0.6819,0.6,0.342,0.322,0.294,0.59,0,0.91,0.0,0.7232,0.387,0.14700051814399998,0.7629994818560001,0.0006999999999999229,0.0006999999999999229,1
A,15,0.5552,0.5078,0.5226,1.0,0.6119,0.6838,0.6,0.354,0.334,0.308,0.6,0,0.95,0.0,0.723925,0.399,0.14733691065600002,0.8026630893439999,0.0014250000000000096,0.0007250000000000867,0
A,16,0.5555,0.5083,0.5228,1.0,0.6128,0.6856,0.6,0.366,0.346,0.322,0.61,0,0.99,0.0,0.7246,0.41100000000000003,0.14761814782000002,0.84238185218,0.0020999999999999908,0.0006749999999999812,0
A,17,0.5559,0.5088,0.5229,1.0,0.6138,0.6875,0.6,0.378,0.358,0.336,0.62,0,1.03,0.0,0.725325,0.42300000000000004,0.147898039968,0.882101960032,0.0028249999999999664,0.0007249999999999757,0
A,18,0.5562,0.5093,0.5231,1.0,0.6147,0.6894,0.6,0.39,0.37,0.35,0.63,0,1.07,0.0,0.726025,0.43499999999999994,0.148179928446,0.921820071554,0.0035250000000000004,0.0007000000000000339,0
A,19,0.5566,0.5098,0.5233,1.0,0.6156,0.6913,0.6,0.39,0.37,0.35,0.63,0,1.11,0.0,0.7267250000000001,0.43499999999999994,0.148488824044,0.9615111759560001,0.0035250000000000004,0.0,0
A,20,0.5569,0.5103,0.5234,1.0,0.6166,0.6931,0.6,0.39,0.37,0.35,0.63,0,1.15,0.0,0.7274250000000001,0.43499999999999994,0.14874298903799998,1.001257010962,0.0035250000000000004,0.0,0
A,21,0.5572,0.5109,0.5236,1.0,0.6175,0.695,0.6,0.39,0.37,0.35,0.63,0,1.19,0.0,0.728125,0.43499999999999994,0.149055034128,1.040944965872,0.0035250000000000004,0.0,0
A,22,0.5576,0.5114,0.5238,1.0,0.6184,0.6969,0.6,0.39,0.37,0.35,0.63,1,1.23,0.0,0.728825,0.43499999999999994,0.149365048032,1.080634951968,0.0035250000000000004,0.0,0
A,23,0.5579,0.5119,0.524,1.0,0.6194,0.6988,0.6,0.39,0.37,0.35,0.63,1,1.27,0.0,0.72955,0.43499999999999994,0.14964864124,1.12035135876,0.0035250000000000004,0.0,0
A,24,0.5583,0.5124,0.5241,1.0,0.6203,0.7006,0.6,0.39,0.37,0.35,0.63,1,1.31,0.0,0.730225,0.43499999999999994,0.149930817372,1.160069182628,0.0035250000000000004,0.0,0
A,25,0.5586,0.5129,0.5243,1.0,0.6212,0.7025,0.6,0.39,0.37,0.35,0.63,1,1.35,0.0,0.730925,0.43499999999999994,0.150215064342,1.1997849356580002,0.0035250000000000004,0.0,0
A,26,0.559,0.5134,0.5245,1.0,0.6222,0.7044,0.6,0.39,0.37,0.35,0.63,1,1.39,0.0,0.73165,0.43499999999999994,0.15052656969999997,1.2394734303,0.0035250000000000004,0.0,0
A,27,0.5593,0.514,0.5247,1.0,0.6231,0.7063,0.6,0.39,0.37,0.35,0.63,1,1.43,0.0,0.7323500000000001,0.43499999999999994,0.15084086094000002,1.27915913906,0.0035250000000000004,0.0,0
A,28,0.5597,0.5145,0.5248,1.0,0.6241,0.7081,0.6,0.39,0.37,0.35,0.63,1,1.47,0.0,0.73305,0.43499999999999994,0.15112437312,1.31887562688,0.0035250000000000004,0.0,0
A,29,0.56,0.515,0.525,1.0,0.625,0.71,0.6,0.39,0.37,0.35,0.63,1,1.51,0.0,0.73375,0.43499999999999994,0.15141000000000002,1.35859,0.0035250000000000004,0.0,0
