t,date,O,R,I,demand,S
19,1864-01-01,0.9715611534637056,0.4599527310924369,0.5513578362753966,0.8671251322496875,0.2611962911338708
20,1865-01-01,0.5569108385813722,0.7561712184873948,0.2987178136369218,0.674810041358084,0.3552027149869706
21,1866-01-01,0.26257872058336096,0.8873424369747899,0.14833879741833814,0.5093296143118208,0.4075025756014788
22,1867-01-01,0.08584686774941996,0.9136029411764703,0.049412273969649395,0.3907377128017697,0.4299133385855403
23,1868-01-01,0.0031819688432217367,0.5185136554621849,0.0019345086262867884,0.18606328748677506,0.4007393491303558
24,1869-01-01,0.027245608220086176,0.1733193277310924,0.09361606791678478,0.07708954506107533,0.3441003575540877
25,1870-01-01,0.05402717931720254,0.08718487394957986,0.23381405067064326,0.06497066461479278,0.2844070056360221
26,1871-01-01,0.05727543917799138,0.03426995798319339,0.3521739217015848,0.047946523035491004,0.2204230046663838
27,1872-01-01,0.45634736493205175,0.027179621848739448,0.9396234591364292,0.33485620852168896,0.228749772741046
28,1873-01-01,0.32031819688432217,0.20640756302521007,0.4472149319974982,0.3018178320669424,0.228749772741046
29,1874-01-01,0.3203844879018893,0.36449579831932766,0.3283418573396099,0.3597672405501587,0.2433549481849584
30,1875-01-01,0.659264169705005,0.367515756302521,0.5014735519646631,0.6067134750408771,0.3201987758317677
31,1876-01-01,0.6318859794497846,0.5665703781512604,0.38817325890272547,0.6597576223910744,0.4104114902127144
32,1877-01-01,0.5615512098110707,0.5590861344537814,0.3635374209540619,0.6059921131095508,0.4870735106963215
33,1878-01-01,0.46648989061982105,0.5378151260504201,0.3303809187357861,0.5292392036164278,0.5443912490152113
34,1879-01-01,0.242094796155121,0.4351365546218487,0.24131473977691825,0.32884485909396943,0.5512029573965215
35,1880-01-01,0.05508783559827642,0.11607142857142858,0.20183868223746418,0.0763200923343272,0.4943700381795043
36,1881-01-01,0.03937686443486908,0.12355567226890758,0.1548735590300178,0.0676637491584111,0.4353554330040604
37,1882-01-01,0.05217103082532317,0.19892331932773108,0.13501751729666028,0.10454938924689816,0.3856372341070239
38,1883-01-01,0.2739144845873384,0.4195115546218487,0.27016771944711226,0.3462056362412234,0.3968244348827345
39,1884-01-01,0.33417301955585016,0.5328256302521007,0.26461249036044404,0.43142252572857553,0.4294891218714018
40,1885-01-01,0.882001988730527,0.8206407563025209,0.38316376702016824,0.9342598826584592,0.5888855220895703
41,1886-01-01,0.8820682797480941,1.0,0.3391013753448029,1.0,0.7648506151142356
42,1887-01-01,0.6761020881670534,0.6362920168067226,0.3780405747127972,0.7173703953063384,0.869583661596267
43,1888-01-01,0.2936692078223401,0.38602941176470584,0.29912245638879736,0.348273540444359,0.8812920429064907
44,1889-01-01,0.0877030162412993,0.25288865546218486,0.16691746121736198,0.15009137251130134,0.8430519362462882
45,1890-01-01,0.14849187935034805,0.17029936974789917,0.3112266858336903,0.16394152159276715,0.8083025271195686
46,1891-01-01,0.26416970500497183,0.14351365546218486,0.475442612081116,0.23804943733769357,0.7922307738924914
47,1892-01-01,0.33503480278422276,0.22570903361344535,0.43905089737560726,0.31956333557757044,0.7967032301072663
48,1893-01-01,0.344580709313888,0.39574579831932766,0.32750023933886285,0.3887659901894777,0.8186170535119084
49,1894-01-01,0.45475638051044087,0.5621060924369747,0.31591995887649194,0.5296239299798019,0.8760317556511726
50,1895-01-01,0.5569108385813722,0.6331407563025209,0.3350392570001492,0.6297489660478984,0.9586812920429064
51,1896-01-01,0.36387139542591984,0.567752100840336,0.26918303582357495,0.4657593536597095,1.0
52,1897-01-01,0.09804441498176998,0.4003413865546218,0.12678394654832145,0.2115994998557276,0.9772619841221746
53,1898-01-01,0.028902883659264172,0.19459033613445376,0.08869601508687787,0.08608252380494374,0.9228895218471608
54,1899-01-01,0.003314550878355993,0.07444852941176476,0.06599537078643106,0.023516398961238853,0.8527483182837404
55,1900-01-01,0.07305270135896587,0.051733193277310956,0.3519258887773905,0.06578820813696261,0.7932610144839707
56,1901-01-01,0.01935697712959893,0.08245798319327731,0.1281918982197286,0.038087909974031046,0.7267923156172353
57,1902-01-01,0.019423268147166044,0.1532300420168067,0.0823070918290832,0.06405693950177938,0.6668686746257803
58,1903-01-01,0.23480278422273784,0.3713235294117646,0.2629561037133141,0.30018274502260267,0.6664565783891885
59,1904-01-01,0.4502485913158767,0.7534138655462185,0.25772336282450947,0.5964220448206213,0.7407066238409793
60,1905-01-01,0.37109711634073583,0.7920168067226891,0.21509507287316043,0.5531403289410406,0.8040482395006363
61,1906-01-01,0.17819025522041765,0.6763392857142855,0.1343211523771173,0.3708281234971626,0.8214411247803164
62,1907-01-01,0.1429897248922771,0.04083508403361347,0.5384625780198088,0.1125324612869097,0.7737349251560511
63,1908-01-01,0.1308584686774942,0.0028886554621848793,0.6962763850670118,0.08983360584784074,0.7203078601296891
64,1909-01-01,0.16267815710971165,0.029543067226890787,0.6156551080689346,0.12267961912090028,0.675159081267802
65,1910-01-01,0.3400729201193239,0.11108193277310927,0.5978244904662772,0.2812349716264307,0.669971516877765
66,1911-01-01,0.44202850513755393,0.22531512605042017,0.5112753634095253,0.3970376070020198,0.6939700624204594
67,1912-01-01,0.4890951276102088,0.3898371848739495,0.4109115516924349,0.4914398384149274,0.7417611053875524
68,1913-01-01,0.3720251905866755,0.4774159663865546,0.30645642476017476,0.4385880542464173,0.7762317435306951
69,1914-01-01,0.2596619158104077,0.5274422268907563,0.22162085176750326,0.3753967490622295,0.7947760741773227
70,1915-01-01,0.15346370566788203,0.49422268907563016,0.1541544924455507,0.2861883235548716,0.7908369189746077
71,1916-01-01,0.0715280079549221,0.35674894957983183,0.10758268905526035,0.176397037607002,0.7592267135325133
72,1917-01-01,0.02101425256877693,0.1836922268907563,0.07433231777826568,0.07636818312974897,0.7024059147930429
73,1918-01-01,0.017898574743122304,0.04766281512605044,0.16484505548029785,0.02428585168798691,0.6324586388703715
74,1919-01-01,0.062379847530659595,0.0,0.52324822246224,0.03909781667788789,0.5662444700321192
75,1920-01-01,0.3632747762678157,0.004332983193277386,1.0,0.2589689333461576,0.5554451245379068
76,1921-01-01,0.44965197215777264,0.08862920168067229,0.728539828488568,0.35250553044147354,0.5682201078722501
77,1922-01-01,0.5034139874047067,0.2246586134453781,0.5475025742713923,0.4413292295854574,0.6033816132355615
78,1923-01-01,0.521909181305933,0.3781512605042016,0.433910486296269,0.5109647013561605,0.6560935700866615
79,1924-01-01,0.47451110374544253,0.5143119747899159,0.3434189909836549,0.526449937481966,0.712708320707836
80,1925-01-01,0.2328803447132914,0.6025472689075628,0.18429107447610563,0.38347600269308457,0.7332888915823285
81,1926-01-01,0.01882664898906197,0.667016806722689,0.012826588002840785,0.25180340482831587,0.7206835949336405
82,1927-01-01,0.004905535299966845,0.6441701680672267,0.0002939785762074805,0.23333653938636145,0.7034240349069755
83,1928-01-01,0.0,0.45312499999999994,0.0,0.1598057131864961,0.6676322647112297
84,1929-01-01,0.003911170036460066,0.20942752100840334,0.025454585431211593,0.07338655381360008,0.6100599963638569
85,1930-01-01,0.016108717268810083,0.04976365546218484,0.15303939917073453,0.02375685293834764,0.5399793951881705
86,1931-01-01,0.11746768312893605,0.06722689075630253,0.4163224384002318,0.10368375492930652,0.4900430276952912
87,1932-01-01,0.532383162081538,0.16832983193277315,0.6328528776744502,0.4417139559488314,0.5253014968789771
88,1933-01-01,0.5830957905203845,0.28400735294117646,0.5313342813516432,0.5208714052130422,0.580510272104721
89,1934-01-01,0.5294000662910177,0.3480829831932773,0.4568098314103124,0.5053861690872368,0.6318162535603903
90,1935-01-01,0.09254226052369903,0.42292542016806717,0.1152261633165198,0.21587958064826396,0.6101569601842313
