t,class_label,O,R,I,demand,S,amplitude_uV,spectral_entropy,alpha_beta_ratio,gamma_power
95,A,0.04321290150131423,0.8646354601931189,0.27226308606851246,0.05172413793103446,0.2398449285386931,56.6,0.751,0.9314,0.1737
96,A,0.04722234597050831,0.9250480783753032,0.4861621909189739,0.23061741267595146,0.23782584419525027,57.41,0.781,1.3013,0.2938
97,A,0.13181667433906044,0.8664478387385844,0.37854763722156687,0.1275415208162657,0.23717959261207952,74.5,0.7519,1.1152,0.2246
98,A,0.01945323057275657,1.0,0.5587918950801471,0.05589483875772694,0.23470985924668664,51.8,0.8483,1.4269,0.1765
99,A,0.0,1.0,0.44655124557629583,0.1831012139718478,0.2319244305771469,47.87,0.8292,1.2328,0.2619
100,B,0.0,0.8646354601931189,0.8911190525755787,0.09432486780367916,0.22843129818507962,39.06,0.751,2.0016,0.2023
101,B,0.01301831969627222,0.9631080278300794,0.7049765225637823,0.08032322931406864,0.22585713634757712,50.5,0.7999,1.6797,0.1929
102,B,0.04123292892393444,0.9544488858906328,1.0,0.007187011245996867,0.22374085319547837,56.2,0.7956,2.2135,0.1438
103,B,0.0,1.0,0.9478465524021001,0.03519028822521782,0.2202959185597694,39.66,0.8261,2.0997,0.1626
104,B,0.11206644787969693,0.9222288228601345,1.0,0.09596335741416548,0.21932915189681598,70.51,0.7796,2.3538,0.2034
105,B,0.1373110982412894,1.0,0.8469976638216177,0.16329038504505844,0.218772066162908,75.61,0.8452,1.9253,0.2486
106,B,0.06722006900204436,1.0,0.7227869914185922,0.14199002010873615,0.21707751337894438,61.45,0.8297,1.7105,0.2343
107,B,0.08766328586349081,0.7713986527986144,0.6849108320033308,0.0,0.21571472181791362,65.58,0.7047,1.645,0.098
108,B,0.021977695608915843,0.9707602927998226,1.0,0.09641021821702538,0.2132859565454253,52.31,0.8037,2.4507,0.2037
109,B,0.11592739440558754,0.8018063372836473,0.5947019637776698,0.08672823415506067,0.21238184696573761,71.29,0.7198,1.489,0.1972
110,B,0.054300747934641146,0.9103476746176384,0.5315557560197071,0.08419602293885455,0.2104776339416154,58.84,0.7737,1.3798,0.1955
111,B,0.0,0.9669341603149509,0.9538026507528969,0.02089074253370073,0.2072174573719465,41.96,0.8018,2.11,0.153
112,B,0.009850363572464533,0.8275823877080459,0.8793225082691463,0.16209875623743203,0.20459188459432848,49.86,0.7326,1.9812,0.2478
113,B,0.0,0.9536433843148705,0.7981923530636319,0.03191330900424514,0.20158715613335854,45.14,0.7952,1.8409,0.1604
114,B,0.029996584547304035,0.8295961416474521,0.7941445192329933,0.0016757280107246404,0.1992885248030376,53.93,0.7336,1.8339,0.1401
115,B,0.13255916405557788,0.9157848102540349,0.7688166446927116,0.1068369702837566,0.1986543226589564,74.65,0.7764,1.7901,0.2107
116,B,0.029749087975131573,0.8952445200720923,0.996767515555247,0.14735234974305503,0.19635167484893895,53.88,0.7662,2.1843,0.2379
117,B,0.009008875227078108,0.866649214132525,0.8424872204103346,0.0,0.19371244604035273,49.69,0.752,1.9175,0.0849
118,B,0.0,1.0,1.0,0.07227973486259029,0.19028277402749053,39.85,0.8297,2.4935,0.1875
119,B,0.0638541156204987,0.9381374789814431,1.0,0.17431295151560292,0.18853359711965412,60.77,0.7875,2.9237,0.256
120,B,0.028957098944179634,0.8360401542535517,0.6115293872736104,0.10609220227899009,0.18621809657460778,53.72,0.7368,1.5181,0.2102
121,B,0.0,0.7983829555866567,0.7780110101080193,0.010315036866016218,0.18339812617967796,47.44,0.7181,1.806,0.1459
122,B,0.11879835464278825,0.9840510687999032,0.8888060046723567,0.20112459968719748,0.18254060776447,71.87,0.8103,1.9976,0.274
123,B,0.03910445840325115,0.8434910438293545,1.0,0.13096745363819168,0.18038978288698118,55.77,0.7405,2.4569,0.2269
124,B,0.0,0.8976610247993796,0.7382844123701802,0.0,0.1773440863331067,44.63,0.7674,1.7373,0.1309
125,B,0.0811293763581375,1.0,0.6475551083662943,0.13275489684963132,0.1758752597080877,64.26,0.8514,1.5804,0.2281
126,B,0.0030689574949387182,0.8736973529204465,0.7874366803136492,0.02655097936992624,0.17313963538678492,48.49,0.7555,1.8223,0.1568
127,B,0.03771847759908528,0.8461089239505825,0.9370908796521177,0.08717509495792061,0.17096631822299554,55.49,0.7418,2.0811,0.1975
128,B,0.02346267504195068,0.8398662867384233,0.7901545115999352,0.14720339614210176,0.16856165182868638,52.61,0.7387,1.827,0.2378
129,B,0.060092167723477044,0.8342277757080861,0.9074260402932943,0.14690548894019514,0.1667514244294628,60.01,0.7359,2.0298,0.2376
130,B,0.0,0.9566640152239796,0.7752353526241528,0.13335071125344455,0.16319804484194764,38.31,0.7967,1.8012,0.2285
131,B,0.0,0.7675725203137427,0.6078285106284551,0.09447382140463244,0.1603724513754427,47.37,0.7028,1.5117,0.2024
132,B,0.04816283294476374,0.840067662132364,1.0,0.0,0.15836862965484666,57.6,0.7388,2.1916,0.1169
133,B,0.03202605643911835,0.815499864071609,0.7770857909467305,0.09447382140463244,0.15610293345803722,54.34,0.7266,1.8044,0.2024
134,B,0.0,0.8819537440720119,1.0,0.04800029790720188,0.15319942028541972,46.4,0.7596,2.3019,0.1712
135,B,0.0766744380590329,0.8219438766777086,0.982079661369787,0.1982944812690847,0.1516582970258633,63.36,0.7298,2.1589,0.2721
136,B,0.0,0.8487268040718103,0.9902909814262252,0.07570566768451625,0.14745987079908635,30.28,0.7431,2.1731,0.1898
137,B,0.05365725684699269,0.8642327094052377,0.9052286447852333,0.07928055410739555,0.14554521492775313,58.71,0.7508,2.026,0.1922
138,B,0.09310821045128531,0.933505844920809,0.9487717715633891,0.06021449318537275,0.1442707859200459,66.68,0.7852,2.1013,0.1794
139,B,0.011137345747761396,0.8781276115871401,0.9586022251520829,0.05961867878155952,0.1416660988368498,50.12,0.7577,2.1183,0.179
140,B,0.049647812377798584,1.0,1.0,0.06661949802636478,0.1396863759944329,57.9,0.858,2.2613,0.1837
141,B,0.09474168782762364,0.8801413655265463,0.5366444614067958,0.015826320101288444,0.13843845575272273,67.01,0.7587,1.3886,0.1496
142,B,0.0,0.8845716241932398,0.8933742742812203,0.21572205258062113,0.13472281038546793,36.29,0.7609,2.0055,0.2838
143,B,0.05147928701187492,0.8952445200720923,1.0,0.0,0.13277280949280534,58.27,0.7662,2.2488,0.0894
144,B,0.04697484939833585,0.9749891760725755,0.6336768209469618,0.1761003947270425,0.13074970866966595,57.36,0.8058,1.5564,0.2572
145,B,0.05202377947065436,0.8795372393447243,0.9999479564221774,0.25996127206375214,0.12880854403233571,58.38,0.7584,2.1898,0.3135
146,B,0.04430188641887312,0.9329017187389873,0.8105093331482895,0.02759365457659937,0.1267420652284739,56.82,0.7849,1.8622,0.1575
147,B,0.07637744217242592,0.8440951700111763,0.9026264658941087,0.055299024353913755,0.1251961221932816,63.3,0.7408,2.0215,0.1761
148,B,0.05900318280591815,0.939748482132968,1.0,0.05291576673866088,0.12336822228339336,59.79,0.7883,2.3113,0.1745
149,B,0.021928196294481325,0.8340264003141455,0.8131115120394143,0.11905116556192748,0.12093865371496575,52.3,0.7358,1.8667,0.2189
150,B,0.0727639922187078,0.8386580343747796,1.0,0.19188947642809262,0.11933407007620422,62.57,0.7381,2.2609,0.2678
151,B,0.0557362280532415,1.0,0.755979228829829,0.0,0.11745315263432184,59.13,0.8501,1.7679,0.1378
152,B,0.0,1.0,1.0,0.08672823415506067,0.11381141049348314,37.21,0.8348,2.1963,0.1972
153,B,0.049152819233453625,0.8223466274655898,1.0,0.10058091904371785,0.11182365469167317,57.8,0.73,2.7337,0.2065
154,B,0.04068843646515499,0.9713644189816446,0.9736370365230262,0.10758173828852312,0.1096985352842421,56.09,0.804,2.1443,0.2112
155,B,0.0,0.9510255041936425,1.0,0.19114470842332612,0.10685125282737593,47.1,0.7939,2.5646,0.2673
156,B,0.11414541908594572,0.8718849743749811,0.7185078527976314,0.0815148581216951,0.10591822459387328,70.93,0.7546,1.7031,0.1937
157,B,0.038064972800126745,1.0,0.596610228297828,0.20484843971103006,0.10375053050165904,55.56,0.8188,1.4923,0.2765
158,B,0.027472119511144796,0.8785303623750214,0.7146334975597344,0.0,0.10141093107843353,53.42,0.7579,1.6964,0.1173
159,B,0.07603094697138446,0.9188054411631442,0.6664064487775542,0.0,0.09985936497166616,63.23,0.7779,1.613,0.1352
160,B,0.018661241541804666,1.0,0.84514722549904,0.0,0.09737677887124441,51.64,0.8418,1.9221,0.1248
161,B,0.023116179840909214,0.8910156367993394,0.4223220687900447,0.086877187756014,0.09496648940536011,52.54,0.7641,1.1909,0.1973
162,B,0.023858669557426635,0.9689479142543571,1.0,0.17475981231846277,0.09256824937856536,52.69,0.8028,2.5547,0.2563
163,B,0.021977695608915843,0.8237562552231742,1.0,0.09536754301035229,0.09013948410607703,52.31,0.7307,2.772,0.203
164,B,0.03598600159387794,0.9109518007994603,0.9245425947771378,0.08017427571311535,0.08793805158441197,55.14,0.774,2.0594,0.1928
165,B,0.00688040470639482,0.8688643434658718,0.8845268660513959,0.05038355552245476,0.08526428105043563,49.26,0.7531,1.9902,0.1728
166,B,0.0,0.9216246966783127,0.8459567922651677,0.2029120428986371,0.08247885238089595,47.87,0.7793,1.9235,0.2752
167,B,0.0,1.0,1.0,0.0,0.07813663618098338,28.49,0.8187,2.3738,0.0963
168,B,0.0183147463407632,0.8829606210417148,0.6459938010316194,0.03295598421091827,0.07564842700898647,51.57,0.7601,1.5777,0.1611
169,B,0.0,1.0,1.0,0.18563342518805392,0.07254328655560341,43.89,0.8451,2.2807,0.2636
170,B,0.07103151621350046,0.8219438766777086,0.7991753984225013,0.12739256721531245,0.07091058755896622,62.22,0.7298,1.8426,0.2245
171,B,0.0,0.9703575420119415,0.848501144958712,0.06304461160348548,0.06771628125632033,42.78,0.8035,1.9279,0.1813
172,B,0.07048702375472102,0.9488103748602956,0.8275680614345522,0.17729202353466897,0.06607474600435079,62.11,0.7928,1.8917,0.258
173,B,0.0,0.9625039016482574,0.9930666389100918,0.0678111268339912,0.06299370442914691,44.19,0.7996,2.1779,0.1845
174,B,0.0514297876974404,0.8122778577685591,1.0,0.0771952036940493,0.06104290024054501,58.26,0.725,2.2772,0.1908
175,B,0.009404869742554096,0.9975432201939243,0.7680070779265838,0.0,0.058410097799473225,49.77,0.817,1.7887,0.1296
176,B,0.0,0.9616984000724951,0.6680834085073901,0.22153124301779997,0.054946687357160184,39.43,0.7992,1.6159,0.2877
177,B,0.0,1.0,0.9267978164827793,0.08374916213599465,0.0510615465467121,34.18,0.8429,2.0633,0.1952
178,B,0.008315884824995174,0.9451856177693647,0.8836594730876876,0.17312132270797645,0.04841107159497561,49.55,0.791,1.9887,0.2552
179,B,0.040935933037327454,0.9250480783753032,0.8271054518539078,0.08672823415506067,0.046289968667241076,56.14,0.781,1.8909,0.1972
180,B,0.05053880003761949,0.7752247852834862,0.6562868642009575,0.1463096745363819,0.044324705151731675,58.08,0.7066,1.5955,0.2372
181,B,0.04375739396009368,0.8980637755872608,0.8933742742812203,0.11681686154762792,0.0422493900925375,56.71,0.7676,2.0055,0.2174
182,B,0.00856338139716767,0.8503378072233353,0.9241956375916546,0.01806062411558799,0.03960293162049754,49.6,0.7439,2.0588,0.1511
183,B,0.055488731481069004,0.7758289114653079,1.0,0.1260519848067327,0.03771799769891862,59.08,0.7069,2.3087,0.2236
184,B,0.04796483568702577,0.9921060845575278,1.0,0.1664184106650778,0.03571096279456538,57.56,0.8143,2.4996,0.2507
185,B,0.0,0.8098613530412718,0.7818275391483357,0.09283533179414613,0.03201941630548979,36.59,0.7238,1.8126,0.2013
186,B,0.060933656068863466,0.8545666904960881,0.9225765040593991,0.03459447382140463,0.030222844937234403,60.18,0.746,2.056,0.1622
187,B,0.00499943075788403,0.7995912079503005,0.7300152661161613,0.0,0.027518549157564486,48.88,0.7187,1.723,0.1324
188,B,0.0,0.9977445955878651,0.7255048227048783,0.2869218738363,0.024521853655987615,45.24,0.8171,1.7152,0.3316
189,B,0.05969617320800109,0.9278673338904718,0.7412913746443688,0.14303269531540924,0.02270519988924962,59.93,0.7824,1.7425,0.235
190,B,0.00678140607752585,0.9228329490419566,1.0,0.08374916213599465,0.020029822763394708,49.24,0.7799,2.768,0.1952
191,B,0.09216772347702984,0.8563790690415537,0.884122082668332,0.22272287182542636,0.018740131132840707,66.49,0.7469,1.9895,0.2885
192,B,0.004256941041366575,1.0,1.0,0.04904297311387501,0.016023785914081243,48.73,0.8475,2.2123,0.1719
193,B,0.0665765779143959,0.9913005829817653,0.9980396919020192,0.0,0.01431879028290664,61.32,0.8139,2.1865,0.1215
194,B,0.0,0.8930293907387455,0.8772985913538269,0.13707455127727713,0.011522115470216653,47.73,0.7651,1.9777,0.231
195,B,0.04410388916113514,0.8054310943745783,0.9561735248536997,0.13632978327251064,0.009452423482597635,56.78,0.7216,2.1141,0.2305
196,B,0.06301262727511227,0.9999597249212119,1.0,0.1251582632010129,0.007689590543793071,60.6,0.8182,2.2502,0.223
197,B,0.03182805918138034,0.7792522931622984,0.9647318020956213,0.1063901094808967,0.005420681163226411,54.3,0.7086,2.1289,0.2104
198,B,0.04875682471797767,0.8100627284352124,0.7026634746605601,0.16939748268414387,0.003426498993902051,57.72,0.7239,1.6757,0.2527
199,B,0.033313038614415216,0.9679410372846541,0.895109060208637,0.09313323899605275,0.0011816884915145287,54.6,0.8023,2.0085,0.2015
200,C,0.21477752533127423,0.5086037637061128,0.3491719288506465,0.3543978550681463,0.0018817609026187591,91.26,0.5742,1.0644,0.3769
201,C,0.13325215445766084,0.529345429281996,0.3601010801933708,0.35320622626051984,0.0012588049016878096,74.79,0.5845,1.0833,0.3761
202,C,0.2336367641308168,0.4705438142513366,0.32465362107649254,0.35603634467863265,0.0022649330656671603,95.07,0.5553,1.022,0.378
203,C,0.2449721071363162,0.5802934039489714,0.43035991025374143,0.2781336113800551,0.003455015999747364,97.36,0.6098,1.2048,0.3257
204,C,0.1748810778970712,0.6501706656463645,0.34795757870145494,0.46819840619646985,0.003507631883771816,83.2,0.6445,1.0623,0.4533
205,C,0.12830222301421132,0.7025282680709243,0.54022968565679,0.36184553511581147,0.0028043462889103888,73.79,0.6705,1.3948,0.3819
206,C,0.13255916405557788,0.7069585267376177,0.4778352184673744,0.34992924703954725,0.002170144144829181,74.65,0.6727,1.2869,0.3739
207,C,0.13409364280304717,0.5321646847971645,0.22420951587907387,0.32043643405079325,0.001560844174866446,74.96,0.5859,0.8483,0.3541
208,C,0.09939462338446617,0.48323046406959524,0.3378379941248583,0.4062337081998958,0.00038843375145094063,67.95,0.5616,1.0448,0.4117
209,C,0.2511595214406281,0.46007229376642467,0.4261964240279416,0.37286810158635586,0.0016789286779442295,98.61,0.5501,1.1976,0.3893
210,C,0.1561208377263975,0.6284221231007783,0.24346563967339765,0.4172562746704402,0.0014270954009721355,79.41,0.6337,0.8816,0.4191
211,C,0.16894116016493174,0.6100969622521825,0.3659415261490065,0.5717211588590155,0.001383315772280033,82.0,0.6246,1.0934,0.5228
212,C,0.12117432173564396,0.5071941359485284,0.28677746166123097,0.347397035823341,0.0005643555621586847,72.35,0.5735,0.9565,0.3722
